Seguidores_autor,Tweets_autor,Texto,Fecha,Retweets,Respuestas,Likes,Cant_citas,Fuente,Hora,Mes,Long_Texto
1320,65707,"Llego el turno de la vacuna para Mica, mi Justi a a tener los anticuerpos del covid-19 ✌",2021-06-26,0,0,1,0,Twitter for Android, 03hs,Junio,88
657,1253,"¡VACUNACIÓN LIBRE PARA MAYORES DE 50 Y EMBARAZADAS! 🙌A partir de mañana, embarazadas (de 18 años de edad en adelante) y mayores de 50 años solo tienen que acercarse a cualquier vacunatorio de la ciudad para recibir la primera dosis de la vacuna contra el Covid-19.",2021-06-26,0,0,3,0,Twitter for Android, 02hs,Junio,264
675,7775,"Sepan que con las compras que ya hizo el Estado, todos los argentinos y argentinas ya tienen garantizada su vacuna contra el COVID ❤️🇦🇷",2021-06-26,0,0,0,0,Twitter for Android, 00hs,Junio,135
226,6950,Noruega dice que el riesgo de morir a causa de la vacuna AstraZeneca es mayor que el de COVID-19  vía,2021-06-26,0,0,0,0,Twitter for Android, 00hs,Junio,101
386,7329,CONTINUA LA CAMPAÑA DE VACUNACIÓN EN SAN ANDRÉS DE GILES 💉✅ 10.607 vecinos recibieron su primera dosis de la vacuna contra el Covid-19.✅ 69% es el porcentaje de vacunados sobre inscriptos en San Andrés de Giles.➡️ 15.437 son los gilenses inscriptos hasta el momento.,2021-06-25,0,1,1,0,Twitter for Android, 21hs,Junio,266
2488,123559,"Escuchame pedazo de💩 hputa  sabes algo,si tanto te molesta la vacuna, hubieses estado en el lugar de mi cuñado,sabes,q se murió el sábado de covid y a la otra semana le llegó el turno, y vos hdputa te haces el canchero,todos lo q piensan así merecen más q mi cuñado. 💩",2021-06-25,1,0,2,0,Twitter for Android, 21hs,Junio,268
155,415,"SIGUE AVANZANDO LA CAMPAÑA DE VACUNACIÓN EN LA PROVINCIA☀️En la provincia de Buenos Aires, embarazadas y mayores de 50 años pueden acercarse SIN TURNO al vacunatorio más cercano para recibir la primera dosis de la vacuna contra el Covid-19👏🏻",2021-06-25,0,0,0,0,Twitter for Android, 19hs,Junio,241
3405,10450,"Otro paso esencial en la campaña de vacunación. Desde mañana, VACUNA LIBRE PARA EMBARAZADAS. Sin turno, podrán ir al vacunatorio y acceder a la vacuna contra el Covid-19.",2021-06-25,0,0,1,0,Twitter for Android, 18hs,Junio,170
1291,118259,"10__Alejandra Listo, ahora estás para todas las barranis. Covid + vacuna= impunidad.",2021-06-25,0,1,0,0,Twitter for Android, 18hs,Junio,84
497,3286,"Recordá que vacunarse ayuda a disminuir la propagación del COVID-19. Si ya recibiste la vacuna, es importante que continúes implementando todas las medidas de prevención. Cuidémonos entre todos y todas.😷❤",2021-06-25,0,0,0,0,Instagram, 18hs,Junio,204
12373,91070,"14 jubilados murieron de Covid en Mendoza por no estar vacunados, fue en un geriátrico! msj para      y toda la caterva de zoretes q le hacen caer la moral a la gente, q la vacuna es veneno y demás! ahí tienen la consecuencia!!",2021-06-25,1,0,0,0,Twitter for Android, 18hs,Junio,227
1191,4299,"ATENCIÓN ⚠️📣Vacuna libre para mayores de 50‼️ A partir de mañana, todos los mayores de 50 años que todavía no se hayan dado la primera dosis de la vacuna contra el COVID, pueden ir a vacunarse SIN TURNO mostrando DNI que acredite domicilio en provincia de Buenos Aires . ❤️💉",2021-06-25,0,0,4,0,Twitter for Android, 17hs,Junio,274
5,899,Che  cabeza  de temo cantale a familia  de los muertos  por  covid  idiota  enferma  metal  ??? Canta  para  que los idiotas  traigan  vacuna  y por  los pobres   que generó  tu  gobierno  de ORTO   cuanta  estúpida  suelta.,2021-06-25,0,0,0,0,Twitter for Android, 16hs,Junio,224
2204,4126,"¡ATENCIÓN!A partir de mañana, todos los mayores de 50 años que todavía no se hayan dado la primera dosis de la vacuna contra el COVID, pueden ir a vacunarse sin turno mostrando DNI que acredite domicilio en provincia de Buenos Aires.VacunatePBA 💉",2021-06-25,2,1,1,0,Twitter for Android, 16hs,Junio,246
965,10386,💉Estamos recorriendo el Barrio San Martín casa por casa para la inscripción de vacuna COVID. 💉🚶Junto a un gran equipo de concejales y referentas barriales para que la vacuna le llegue a todos los vecinos. 🏡Gran iniciativa de,2021-06-25,1,0,14,3,Twitter for Android, 16hs,Junio,224
1947,7371,"‼️Vacuna libre para mayores de 50‼️👉🏻A partir de mañana, todos los mayores de 50 años que todavía no se hayan dado la primera dosis de la vacuna contra el COVID, pueden ir a vacunarse sin turno mostrando DNI que acredite domicilio en provincia de Buenos Aires.VacunatePBA 💉",2021-06-25,5,0,12,0,Twitter for iPhone, 15hs,Junio,273
2314,17549,"IMPORTANTE Vacuna libre para mayores de 50A partir de mañana, todos los mayores de 50 años que todavía no se hayan dado la primera dosis de la vacuna contra el COVID, pueden ir a vacunarse sin turno mostrando DNI que acredite domicilio en provincia de Buenos AiresVacunatePBA",2021-06-25,0,0,1,0,Twitter for Android, 15hs,Junio,275
303,29850,me anoté como voluntario para la vacuna del covid y en dos semanas empiezo los estudios chetooo salió esa tal mutación,2021-06-25,0,0,1,0,Twitter for Android, 15hs,Junio,118
5166,28587,"A partir de mañana, todos los mayores de 50 años que todavía no se hayan dado la primera dosis de la vacuna contra el COVID, pueden ir a vacunarse sin turno mostrando DNI que acredite domicilio en provincia de Buenos Aires.",2021-06-25,4,0,12,0,Twitter for Android, 15hs,Junio,223
8814,54375,"📋Formulario de empadronamiento para la aplicación de la primera dosis de la vacuna contra el COVID-19 para personas con condiciones de riesgo, personas gestantes y en período de lactancia mayores de 18 años👉  GCBA",2021-06-25,1,0,1,0,Twitter for Android, 13hs,Junio,213
151,1447,"Los booster no vencen. Lo que explicaría el mal dicho de ""las vacunas no se vencen""3) la OMS estableció que 60% de Acpos son aceptables para covid. Dependiendo de la vacuna esto se logra con 1 ó 2 dosis...pero inevitabile los Acpos descenderán con el tiempo, por lo que es nec...",2021-06-25,0,1,0,0,Twitter for Android, 13hs,Junio,279
1116,61174,"En Rusia la gente no es muy propensa a la vacuna, el gobierno obliga a vacunarse para poder entrar a bares y restaurantes",2021-06-25,0,0,0,0,Twitter for Android, 05hs,Junio,121
691,6878,"1 Me la di el martes a 22 dias de alta de covid. 24 hs de fiebre, tractorazo en todo el cuerpo, dolor en el lugar del pinchazo. Con esta vacuna conozco una sola persona q no tuvo efectos de nada. El resto, minimamente fiebre.",2021-06-25,0,0,0,0,Twitter for Android, 04hs,Junio,225
195,3566,"me envían mail para solicitar un turno para la vacuna covid y no hay lugar en ningún lado de la lista, es una cargada? Además de que todos son en la otra punta donde vivo.",2021-06-25,0,0,0,0,Twitter for iPhone, 02hs,Junio,171
3026,7162,"Tenemos que ser claros, porque la ciudadanía no necesita más preocupación. LA PROTECCIÖN que te brinda la vacuna contra Covid-19 NO VENCE.Recordá que podés consultar 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝗰𝗶𝗼́𝗻 𝗼𝗳𝗶𝗰𝗶𝗮𝗹 en",2021-06-25,0,0,2,0,Twitter for iPhone, 00hs,Junio,189
2507,10873,"La protección que brinda la vacuna contra el Covid-19 no vence.Si tenés dudas, consultá siempre información oficial en",2021-06-25,0,0,0,0,Twitter for iPhone, 00hs,Junio,118
6222,15895,En la Plaza de Maipú junto a los concejales  y  informamos el proceso de inscripción para la vacuna 💉 contra el COVID-19.⚠️ Abrió la inscripción para personas mayores de 35 sin enfermedades preexistentes.,2021-06-24,34,0,54,23,Twitter for iPhone, 21hs,Junio,204
2984,71282,"86814888 Que te vacunes. La podés pasar mal si te agarrás Covid. A mi la vacuna me provocó algún efecto, no quiero ni imaginar lo q debe ser la enfermedad!!",2021-06-24,0,2,13,0,Twitter for Android, 17hs,Junio,156
448,16010,"Listo, ya puse mi granito de arena en la lucha contra el oscurantismo. Me acaban de poner la vacuna Sinopharm contra el covid-19 y todo bien....",2021-06-24,1,1,2,0,Twitter for Android, 16hs,Junio,144
226,6950,"Ha habido más de 1.200 casos de miocarditis o pericarditis en jóvenes de 16 a 24 años que recibieron una vacuna de ARNm COVID, según datos de los CDC.",2021-06-24,5,0,5,0,Twitter for Android, 16hs,Junio,150
789,1411,"💉Hoy en el Sindicato del Plástico recibí mi primera dosis de la vacuna contra el COVID-19, correspondiente al grupo de mayores de 40 años sin patologías previas.  (Abro hilo👇🏼)",2021-06-24,3,2,19,0,Twitter for Android, 15hs,Junio,176
220,17497,"49365255 2 1  2) que se está haciendo en este momento, probar q pasa si un infectado de COVID se vacuna, alcanza con una dosis?. Eso está haciendo el gobierno, usando a la gente de conejitos de la India para hacer los testeos q debió informar a quienes se les aplica la dosis, básicamente la 🇦🇷",2021-06-24,0,2,1,0,Twitter for Android, 15hs,Junio,294
1662,30993,"Que difícil es seguir admirando a un artista, cuándo siendo muy popular ( Kike Teruel de los Nocheros ), pone en duda la vacuna contra el COVID !Navarro2023",2021-06-24,0,0,0,0,Twitter for Android, 14hs,Junio,156
4500,45842,"Señores padres. Si su hijo/a tiene gripe, tos o algún síntoma compatible con covid, no lo/a mande a la escuela. Tengo compañeros/as docentes en grave estado xq se han contagiado, a pesar de estar con una dosis de vacuna. La responsabilidad de no contagiar es de todos.",2021-06-24,5,3,21,0,Twitter for Android, 13hs,Junio,268
1116,61174,"Ya somos bastante parecidos a ratones de laboratorio con esta cuestión del Covid, ahora  y  quieren probar con los que fuimos vacunados con la Sputnik V a ver si funciona una segunda dosis de otra vacuna. Conmigo no cuenten. Me vacunaron el 12/04",2021-06-24,1,1,0,0,Twitter for Android, 04hs,Junio,246
1672,86838,"CAYERON LAS ACCIONES DE MODERNA , PFIZER Y BIONTECH. Reportan más de 1.200 casos de problemas cardíacos tras vacuna covid",2021-06-24,1,0,0,1,Twitter for Android, 02hs,Junio,121
1672,86838,"CAYERON LAS ACCIONES DE MODERNA, PFIZER Y BIONTRCH.Reportan más de 1.200 casos de problemas cardíacos tras vacuna covid",2021-06-24,0,0,0,0,Twitter for Android, 02hs,Junio,119
41,1415,Presidente de la Nacion: Vacuna COVID para menores con discapacidad      - Sign the Petition!  vía,2021-06-24,0,0,0,0,Twitter for iPhone, 01hs,Junio,98
1235,41562,Del brazo derecho tengo un desgarro y del izquierdo me dieron la vacuna del Covid.  Dios mío estoy haciendo malabares para poder moverlos y hacer las cosas 😭,2021-06-24,0,0,0,0,Twitter for iPhone, 01hs,Junio,157
72,4863,"HacemosQuilmes IdentidadQuilmeña WalterDiGiuseppe2021Sr Presidente , Ud no tiene derecho a enojarse ! Ni utilizar la Pandemia para hacer política. La gente está angustiada por la segunda dosis de la vacuna. En el mundo ya se habla de la tercera ola de COVID .",2021-06-24,1,0,4,0,Twitter for Android, 00hs,Junio,259
